Symbol,Date,Session,TimeFrame,StrategyName,StateMachine,EntryNumber,Quantity,EntryFillPrice,EntryAmount,EntryFillTime,ExitFillPrice,ExitAmount,ExitFillTime,ExitReason,Pnl,PnlPerc,NetPnl,Mfe,MfePerc,MfeTimeStamp,Mae,MaePerc,MaeTimeStamp,PnlPerc_category,MfePerc_category,SamplingData,
DOGEUSDT,20240102,Utc,1,VolumeAbsorption,Breakout,1,108,0.09197,9.9328,00:00:00,0.09184,9.9187,00:16:00,PriceActionEod,-0.00013,-0.1414,-0.014,0.09209,0.1305,00:14:00,0.09184,-0.1414,00:16:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
BTCUSDT,20240102,Utc,1,VolumeAbsorption,Breakout,1,0.00022,44174.3,9.7183,00:00:00,44321.31,9.7507,00:06:00,PriceActionEod,147.01,0.3328,0.0323,44324.99,0.3411,00:05:00,44164.97,-0.0211,00:02:00,000.2 to 000.5,000.2 to 000.5,InSample,
ETHUSDT,20240102,Utc,1,VolumeAbsorption,Breakout,1,0.0042,2348.89,9.8653,00:00:00,2383.68,10.0115,01:12:00,PriceActionEod,34.79,1.4811,0.1461,2396.83,2.041,01:08:00,2347.32,-0.0668,00:02:00,001.4 to 001.7,002.0 to 002.3,InSample,
ADAUSDT,20240102,Utc,1,VolumeAbsorption,Breakout,1,16,0.6227,9.9632,00:00:00,0.6327,10.1232,01:12:00,PriceActionEod,0.01,1.6059,0.16,0.6369,2.2804,01:07:00,0.6222,-0.0803,00:15:00,001.4 to 001.7,002.0 to 002.3,InSample,
SOLUSDT,20240102,Utc,1,VolumeAbsorption,Breakout,1,0.091,109.23,9.9399,00:00:00,113.64,10.3412,11:45:00,PriceActionEod,4.41,4.0374,0.4013,116.84,6.967,09:36:00,108.65,-0.531,00:16:00,003.8 to 004.1,006.8 to 007.1,InSample,
BTCUSDT,20240102,Utc,1,YesterdayHigh,Breakout,1,0.00022,44216.01,9.7275,00:01:00,44596.07,9.8111,00:15:00,PriceActionEod,380.06,0.8596,0.0836,44630.09,0.9365,00:14:00,44164.97,-0.1154,00:02:00,000.8 to 001.1,000.8 to 001.1,InSample,
ETHUSDT,20240102,Utc,1,YesterdayHigh,Breakout,1,0.0042,2351.25,9.8752,00:01:00,2384.34,10.0142,01:11:00,PriceActionEod,33.09,1.4073,0.139,2396.83,1.9385,01:08:00,2347.32,-0.1671,00:02:00,001.4 to 001.7,001.7 to 002.0,InSample,
BTCUSDT,20240102,Utc,1,Orb,Breakout,1,0.00022,44211.09,9.7264,00:03:00,44576.13,9.8067,00:15:00,PriceActionEod,365.04,0.8257,0.0803,44630.09,0.9477,00:14:00,44211.09,0,00:03:00,000.8 to 001.1,000.8 to 001.1,InSample,
BTCUSDT,20240102,Utc,1,OrbManual,Breakout,1,0.00022,44211.09,9.7264,00:03:00,44576.13,9.8067,00:15:00,PriceActionEod,365.04,0.8257,0.0803,44630.09,0.9477,00:14:00,44211.09,0,00:03:00,000.8 to 001.1,000.8 to 001.1,InSample,
BTCUSDT,20240102,Utc,1,YesterdayHigh,Breakout,2,0.00022,44211.09,9.7264,00:03:00,44576.13,9.8067,00:15:00,PriceActionEod,365.04,0.8257,0.0803,44630.09,0.9477,00:14:00,44211.09,0,00:03:00,000.8 to 001.1,000.8 to 001.1,InSample,
ADAUSDT,20240102,Utc,1,Orb,Breakout,1,16,0.6238,9.9808,00:05:00,0.6266,10.0256,00:22:00,PriceActionEod,0.0028,0.4489,0.0448,0.6266,0.4489,00:22:00,0.6222,-0.2565,00:15:00,000.2 to 000.5,000.2 to 000.5,InSample,
ADAUSDT,20240102,Utc,1,OrbManual,Breakout,1,16,0.6238,9.9808,00:05:00,0.6266,10.0256,00:22:00,PriceActionEod,0.0028,0.4489,0.0448,0.6266,0.4489,00:22:00,0.6222,-0.2565,00:15:00,000.2 to 000.5,000.2 to 000.5,InSample,
ETHUSDT,20240102,Utc,1,Orb,Breakout,1,0.0042,2352.03,9.8785,00:06:00,2355.26,9.8921,00:16:00,PriceActionEod,3.23,0.1373,0.0136,2356.4,0.1858,00:15:00,2351.42,-0.0259,00:09:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ETHUSDT,20240102,Utc,1,OrbManual,Breakout,1,0.0042,2352.03,9.8785,00:06:00,2355.26,9.8921,00:16:00,PriceActionEod,3.23,0.1373,0.0136,2356.4,0.1858,00:15:00,2351.42,-0.0259,00:09:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ETHUSDT,20240102,Utc,1,YesterdayHigh,Breakout,2,0.0042,2352.03,9.8785,00:06:00,2355.26,9.8921,00:16:00,PriceActionEod,3.23,0.1373,0.0136,2356.4,0.1858,00:15:00,2351.42,-0.0259,00:09:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Utc,1,YesterdayHigh,Breakout,1,16,0.6236,9.9776,00:06:00,0.6266,10.0256,00:22:00,PriceActionEod,0.003,0.4811,0.048,0.6266,0.4811,00:22:00,0.6222,-0.2245,00:15:00,000.2 to 000.5,000.2 to 000.5,InSample,
ADAUSDT,20240102,Utc,1,Orb,Breakout,2,16,0.6239,9.9824,00:07:00,0.6266,10.0256,00:22:00,PriceActionEod,0.0027,0.4328,0.0432,0.6266,0.4328,00:22:00,0.6222,-0.2725,00:15:00,000.2 to 000.5,000.2 to 000.5,InSample,
ADAUSDT,20240102,Utc,1,OrbManual,Breakout,2,16,0.6239,9.9824,00:07:00,0.6266,10.0256,00:22:00,PriceActionEod,0.0027,0.4328,0.0432,0.6266,0.4328,00:22:00,0.6222,-0.2725,00:15:00,000.2 to 000.5,000.2 to 000.5,InSample,
ETHUSDT,20240102,Utc,3,OrbManual,Breakout,1,0.0042,2353.94,9.8865,00:08:00,2382.06,10.0047,01:13:00,PriceActionEod,28.12,1.1946,0.1181,2396.83,1.8221,01:08:00,2351.42,-0.1071,00:09:00,001.1 to 001.4,001.7 to 002.0,InSample,
ETHUSDT,20240102,Utc,3,Orb,Breakout,1,0.0042,2353.94,9.8865,00:08:00,2383.25,10.0096,01:12:00,PriceActionEod,29.31,1.2451,0.1231,2396.83,1.8221,01:08:00,2351.42,-0.1071,00:09:00,001.1 to 001.4,001.7 to 002.0,InSample,
ETHUSDT,20240102,Utc,1,Orb,Breakout,2,0.0042,2352.94,9.8823,00:10:00,2355.05,9.8912,00:16:00,PriceActionEod,2.11,0.0897,0.0089,2356.4,0.1471,00:15:00,2352.94,0,00:10:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ETHUSDT,20240102,Utc,1,OrbManual,Breakout,2,0.0042,2352.94,9.8823,00:10:00,2355.05,9.8912,00:16:00,PriceActionEod,2.11,0.0897,0.0089,2356.4,0.1471,00:15:00,2352.94,0,00:10:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ETHUSDT,20240102,Utc,1,YesterdayHigh,Breakout,3,0.0042,2352.94,9.8823,00:10:00,2355.05,9.8912,00:16:00,PriceActionEod,2.11,0.0897,0.0089,2356.4,0.1471,00:15:00,2352.94,0,00:10:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Utc,1,Orb,Breakout,2,108,0.09209,9.9457,00:14:00,0.09281,10.0235,00:46:00,PriceActionEod,0.00072,0.7818,0.0778,0.09281,0.7818,00:46:00,0.09195,-0.152,00:15:00,000.5 to 000.8,000.5 to 000.8,InSample,
DOGEUSDT,20240102,Utc,1,OrbManual,Breakout,2,108,0.09209,9.9457,00:14:00,0.09281,10.0235,00:46:00,PriceActionEod,0.00072,0.7818,0.0778,0.09281,0.7818,00:46:00,0.09195,-0.152,00:15:00,000.5 to 000.8,000.5 to 000.8,InSample,
DOGEUSDT,20240102,Utc,1,YesterdayHigh,Breakout,1,108,0.09209,9.9457,00:14:00,0.09281,10.0235,00:46:00,PriceActionEod,0.00072,0.7818,0.0778,0.09281,0.7818,00:46:00,0.09195,-0.152,00:15:00,000.5 to 000.8,000.5 to 000.8,InSample,
DOGEUSDT,20240102,Utc,3,Orb,Breakout,1,108,0.09209,9.9457,00:14:00,0.09287,10.03,01:12:00,PriceActionEod,0.00078,0.847,0.0842,0.09337,1.3899,01:08:00,0.09195,-0.152,00:15:00,000.8 to 001.1,001.1 to 001.4,InSample,
DOGEUSDT,20240102,Utc,3,OrbManual,Breakout,1,108,0.09209,9.9457,00:14:00,0.0929,10.0332,01:11:00,PriceActionEod,0.00081,0.8796,0.0875,0.09337,1.3899,01:08:00,0.09195,-0.152,00:15:00,000.8 to 001.1,001.1 to 001.4,InSample,
ADAUSDT,20240102,Utc,1,Orb,Breakout,3,16,0.6247,9.9952,00:17:00,0.6266,10.0256,00:22:00,PriceActionEod,0.0019,0.3041,0.0304,0.6266,0.3041,00:22:00,0.6239,-0.1281,00:19:00,000.2 to 000.5,000.2 to 000.5,InSample,
ADAUSDT,20240102,Utc,1,OrbManual,Breakout,3,16,0.6247,9.9952,00:17:00,0.6266,10.0256,00:22:00,PriceActionEod,0.0019,0.3041,0.0304,0.6266,0.3041,00:22:00,0.6239,-0.1281,00:19:00,000.2 to 000.5,000.2 to 000.5,InSample,
ADAUSDT,20240102,Utc,1,YesterdayHigh,Breakout,2,16,0.6247,9.9952,00:17:00,0.6266,10.0256,00:22:00,PriceActionEod,0.0019,0.3041,0.0304,0.6266,0.3041,00:22:00,0.6239,-0.1281,00:19:00,000.2 to 000.5,000.2 to 000.5,InSample,
ADAUSDT,20240102,Utc,1,YesterdayHigh,Breakout,3,15.9,0.6251,9.9391,00:20:00,0.6266,9.9629,00:22:00,PriceActionEod,0.0015,0.24,0.0238,0.6266,0.24,00:22:00,0.6251,0,00:20:00,000.2 to 000.5,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,1,VolumeAbsorption,Breakout,1,107,0.09291,9.9414,03:45:00,0.09285,9.935,03:47:00,PriceActionEod,-6.00E-05,-0.0646,-0.0064,0.09291,0,03:45:00,0.09285,-0.0646,03:47:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Ist,1,VolumeAbsorption,Breakout,1,15.9,0.6286,9.9947,03:45:00,0.6289,9.9995,03:52:00,PriceActionEod,0.0003,0.0477,0.0048,0.6293,0.1114,03:50:00,0.6283,-0.0477,03:46:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
SOLUSDT,20240102,Ist,1,VolumeAbsorption,Breakout,1,0.09,111.1,9.999,03:45:00,111.17,10.0053,04:05:00,PriceActionEod,0.07,0.063,0.0063,111.42,0.288,04:00:00,110.99,-0.099,03:48:00,-00.1 to 000.2,000.2 to 000.5,InSample,
ADAUSDT,20240102,Ist,1,Orb,Breakout,1,15.9,0.6287,9.9963,03:48:00,0.6289,9.9995,03:52:00,PriceActionEod,0.0002,0.0318,0.0032,0.6293,0.0954,03:50:00,0.6287,0,03:48:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Ist,1,OrbManual,Breakout,1,15.9,0.6287,9.9963,03:48:00,0.6289,9.9995,03:52:00,PriceActionEod,0.0002,0.0318,0.0032,0.6293,0.0954,03:50:00,0.6287,0,03:48:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
BTCUSDT,20240102,Ist,3,Orb,Breakout,1,0.00022,45352.02,9.9774,04:05:00,45150.97,9.9332,05:00:00,PriceActionEod,-201.05,-0.4433,-0.0442,45390,0.0837,04:14:00,45150.97,-0.4433,05:00:00,-00.7 to -00.4,-00.1 to 000.2,InSample,35
BTCUSDT,20240102,Ist,3,OrbManual,Breakout,1,0.00022,45352.02,9.9774,04:05:00,45158.81,9.9349,05:00:00,PriceActionEod,-193.21,-0.426,-0.0425,45390,0.0837,04:14:00,45158.81,-0.426,05:00:00,-00.7 to -00.4,-00.1 to 000.2,InSample,46
DOGEUSDT,20240102,Ist,3,OrbManual,Breakout,1,107,0.0929,9.9403,04:11:00,0.093,9.951,05:27:00,PriceActionEod,0.0001,0.1076,0.0107,0.09323,0.3552,05:09:00,0.09284,-0.0646,04:20:00,-00.1 to 000.2,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,3,Orb,Breakout,1,107,0.0929,9.9403,04:11:00,0.093,9.951,05:27:00,PriceActionEod,0.0001,0.1076,0.0107,0.09323,0.3552,05:09:00,0.09284,-0.0646,04:20:00,-00.1 to 000.2,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,1,Orb,PullBack,1,107,0.09302,9.9531,04:13:00,0.09293,9.9435,04:15:00,PriceActionEod,-9.00E-05,-0.0968,-0.0096,0.09302,0,04:13:00,0.09293,-0.0968,04:15:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,1,OrbManual,PullBack,1,107,0.09302,9.9531,04:13:00,0.09293,9.9435,04:15:00,PriceActionEod,-9.00E-05,-0.0968,-0.0096,0.09302,0,04:13:00,0.09293,-0.0968,04:15:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
SOLUSDT,20240102,Ist,1,Orb,Breakout,4,0.089,111.2,9.8968,04:17:00,111.59,9.9315,04:32:00,PriceActionEod,0.39,0.3507,0.0347,111.76,0.5036,04:31:00,111.2,0,04:17:00,000.2 to 000.5,000.5 to 000.8,InSample,
SOLUSDT,20240102,Ist,1,OrbManual,Breakout,4,0.089,111.2,9.8968,04:17:00,111.59,9.9315,04:32:00,PriceActionEod,0.39,0.3507,0.0347,111.76,0.5036,04:31:00,111.2,0,04:17:00,000.2 to 000.5,000.5 to 000.8,InSample,
SOLUSDT,20240102,Ist,3,OrbManual,Breakout,1,0.089,111.2,9.8968,04:17:00,112.55,10.017,05:30:00,PriceActionEod,1.35,1.214,0.1202,113.15,1.7536,05:13:00,111.2,0,04:17:00,001.1 to 001.4,001.7 to 002.0,InSample,
SOLUSDT,20240102,Ist,3,Orb,Breakout,1,0.089,111.2,9.8968,04:17:00,112.55,10.017,05:30:00,PriceActionEod,1.35,1.214,0.1202,113.15,1.7536,05:13:00,111.2,0,04:17:00,001.1 to 001.4,001.7 to 002.0,InSample,
SOLUSDT,20240102,Ist,1,Orb,PullBack,1,0.089,111.2,9.8968,04:18:00,111.59,9.9315,04:32:00,PriceActionEod,0.39,0.3507,0.0347,111.76,0.5036,04:31:00,111.2,0,04:18:00,000.2 to 000.5,000.5 to 000.8,InSample,
SOLUSDT,20240102,Ist,1,OrbManual,PullBack,1,0.089,111.2,9.8968,04:18:00,111.59,9.9315,04:32:00,PriceActionEod,0.39,0.3507,0.0347,111.76,0.5036,04:31:00,111.2,0,04:18:00,000.2 to 000.5,000.5 to 000.8,InSample,
SOLUSDT,20240102,Ist,3,OrbManual,PullBack,1,0.089,111.44,9.9182,04:23:00,112.59,10.0205,05:17:00,PriceActionEod,1.15,1.0319,0.1024,113.15,1.5345,05:13:00,111.44,0,04:23:00,000.8 to 001.1,001.4 to 001.7,InSample,
SOLUSDT,20240102,Ist,3,Orb,PullBack,1,0.089,111.44,9.9182,04:23:00,112.59,10.0205,05:17:00,PriceActionEod,1.15,1.0319,0.1024,113.15,1.5345,05:13:00,111.44,0,04:23:00,000.8 to 001.1,001.4 to 001.7,InSample,
DOGEUSDT,20240102,Ist,5,OrbManual,Breakout,2,107,0.09298,9.9489,04:29:00,0.09285,9.935,05:53:00,PriceActionEod,-0.00013,-0.1398,-0.0139,0.09323,0.2689,05:09:00,0.09285,-0.1398,05:53:00,-00.4 to -00.1,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,5,Orb,Breakout,2,107,0.09298,9.9489,04:29:00,0.09288,9.9382,05:45:00,PriceActionEod,-0.0001,-0.1076,-0.0107,0.09323,0.2689,05:09:00,0.09288,-0.1076,05:45:00,-00.4 to -00.1,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,1,Orb,PullBack,2,107,0.09298,9.9489,04:29:00,0.09292,9.9424,04:31:00,PriceActionEod,-6.00E-05,-0.0645,-0.0064,0.09298,0,04:29:00,0.09292,-0.0645,04:30:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,1,OrbManual,PullBack,2,107,0.09298,9.9489,04:29:00,0.09292,9.9424,04:31:00,PriceActionEod,-6.00E-05,-0.0645,-0.0064,0.09298,0,04:29:00,0.09292,-0.0645,04:30:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,OrbManual,Breakout,2,107,0.09298,9.9489,04:29:00,0.09306,9.9574,05:13:00,PriceActionEod,8e-05,0.086,0.0086,0.09323,0.2689,05:09:00,0.09289,-0.0968,04:31:00,-00.1 to 000.2,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,3,Orb,Breakout,2,107,0.09298,9.9489,04:29:00,0.09306,9.9574,05:13:00,PriceActionEod,8e-05,0.086,0.0086,0.09323,0.2689,05:09:00,0.09289,-0.0968,04:31:00,-00.1 to 000.2,000.2 to 000.5,InSample,
ADAUSDT,20240102,Ist,3,OrbManual,Breakout,2,15.9,0.6284,9.9916,04:35:00,0.6277,9.9804,04:37:00,PriceActionEod,-0.0007,-0.1114,-0.0111,0.6284,0,04:35:00,0.6277,-0.1114,04:37:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
